T, HRS, LRS, cba1_sd, cba2_sd, test_acc2
0.3, 6000, 500, 0.3958973274443148, 0.10101525445522107, 0.7846999764442444
0.35, 6000, 500, 0.4618802153517005, 0.11785113019775792, 0.7648000121116638
0.4, 6000, 500, 0.5278631032590865, 0.13468700594029476, 0.7408999800682068
0.45, 6000, 500, 0.5938459911664722, 0.15152288168283162, 0.7099999785423279
0.5, 6000, 500, 0.659828879073858, 0.16835875742536846, 0.6876999735832214
0.55, 6000, 500, 0.7258117669812438, 0.18519463316790533, 0.6506999731063843
0.6, 6000, 500, 0.7917946548886295, 0.20203050891044214, 0.6162999868392944
0.65, 6000, 500, 0.8577775427960154, 0.21886638465297903, 0.5968999862670898
0.7, 6000, 500, 0.923760430703401, 0.23570226039551584, 0.5710999965667725
0.75, 6000, 500, 0.9897433186107871, 0.2525381361380527, 0.5400000214576721
0.8, 6000, 500, 1.055726206518173, 0.2693740118805895, 0.5090000033378601
0.85, 6000, 500, 1.1217090944255586, 0.2862098876231264, 0.4830000102519989
0.9, 6000, 500, 1.1876919823329444, 0.30304576336566325, 0.46889999508857727
0.95, 6000, 500, 1.2536748702403302, 0.31988163910820006, 0.43790000677108765
0.0, 7000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 7000, 500, 0.05655676106347355, 0.014430750636460155, 0.8513000011444092
0.1, 7000, 500, 0.1131135221269471, 0.02886150127292031, 0.8482000231742859
0.15, 7000, 500, 0.1696702831904206, 0.04329225190938046, 0.8443999886512756
0.2, 7000, 500, 0.2262270442538942, 0.05772300254584062, 0.8267999887466431
0.25, 7000, 500, 0.28278380531736774, 0.07215375318230077, 0.819100022315979
0.3, 7000, 500, 0.3393405663808412, 0.08658450381876091, 0.8014000058174133
0.35, 7000, 500, 0.3958973274443148, 0.10101525445522107, 0.7810999751091003
0.4, 7000, 500, 0.4524540885077884, 0.11544600509168124, 0.7731000185012817
0.45, 7000, 500, 0.5090108495712619, 0.12987675572814142, 0.7458000183105469
0.5, 7000, 500, 0.5655676106347355, 0.14430750636460155, 0.7229999899864197
0.55, 7000, 500, 0.6221243716982089, 0.15873825700106173, 0.7010999917984009
0.6, 7000, 500, 0.6786811327616824, 0.17316900763752183, 0.6779999732971191
0.65, 7000, 500, 0.7352378938251559, 0.18759975827398204, 0.6473000049591064
0.7, 7000, 500, 0.7917946548886295, 0.20203050891044214, 0.6304000020027161
0.75, 7000, 500, 0.8483514159521032, 0.2164612595469023, 0.6000999808311462
0.8, 7000, 500, 0.9049081770155768, 0.23089201018336247, 0.5752000212669373
0.85, 7000, 500, 0.9614649380790502, 0.2453227608198226, 0.5641000270843506
0.9, 7000, 500, 1.0180216991425237, 0.25975351145628284, 0.5235999822616577
0.95, 7000, 500, 1.0745784602059973, 0.27418426209274294, 0.5055999755859375
0.0, 8000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 8000, 500, 0.049487165930539354, 0.012626906806902635, 0.8528000116348267
0.1, 8000, 500, 0.09897433186107871, 0.02525381361380527, 0.8493000268936157
0.15, 8000, 500, 0.14846149779161805, 0.0378807204207079, 0.8464000225067139
0.2, 8000, 500, 0.19794866372215741, 0.05050762722761054, 0.8367000222206116
0.25, 8000, 500, 0.24743582965269675, 0.06313453403451318, 0.8241999745368958
0.3, 8000, 500, 0.2969229955832361, 0.0757614408414158, 0.8141999840736389
0.35, 8000, 500, 0.3464101615137754, 0.08838834764831845, 0.8029999732971191
0.4, 8000, 500, 0.39589732744431483, 0.10101525445522108, 0.7864999771118164
0.45, 8000, 500, 0.44538449337485414, 0.11364216126212372, 0.765999972820282
0.5, 8000, 500, 0.4948716593053935, 0.12626906806902635, 0.7468000054359436
0.55, 8000, 500, 0.5443588252359329, 0.138895974875929, 0.7251999974250793
0.6, 8000, 500, 0.5938459911664722, 0.1515228816828316, 0.7186999917030334
0.65, 8000, 500, 0.6433331570970114, 0.16414978848973427, 0.6863999962806702
0.7, 8000, 500, 0.6928203230275508, 0.1767766952966369, 0.6722999811172485
0.75, 8000, 500, 0.7423074889580903, 0.18940360210353951, 0.6398000121116638
0.8, 8000, 500, 0.7917946548886297, 0.20203050891044216, 0.6291000247001648
0.85, 8000, 500, 0.8412818208191689, 0.21465741571734478, 0.5976999998092651
0.9, 8000, 500, 0.8907689867497083, 0.22728432252424743, 0.5835999846458435
0.95, 8000, 500, 0.9402561526802476, 0.23991122933115006, 0.5649999976158142
0.0, 9000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 9000, 500, 0.04398859193825721, 0.011223917161691232, 0.8500000238418579
0.1, 9000, 500, 0.08797718387651442, 0.022447834323382463, 0.8463000059127808
0.15, 9000, 500, 0.1319657758147716, 0.03367175148507369, 0.8435999751091003
0.2, 9000, 500, 0.17595436775302883, 0.044895668646764926, 0.8364999890327454
0.25, 9000, 500, 0.219942959691286, 0.056119585808456156, 0.8306999802589417
0.3, 9000, 500, 0.2639315516295432, 0.06734350297014738, 0.8223999738693237
0.35, 9000, 500, 0.3079201435678004, 0.07856742013183862, 0.809499979019165
0.4, 9000, 500, 0.35190873550605767, 0.08979133729352985, 0.7954000234603882
0.45, 9000, 500, 0.39589732744431483, 0.10101525445522108, 0.7843999862670898
0.5, 9000, 500, 0.439885919382572, 0.11223917161691231, 0.7723000049591064
0.55, 9000, 500, 0.4838745113208292, 0.12346308877860354, 0.7515000104904175
0.6, 9000, 500, 0.5278631032590864, 0.13468700594029476, 0.7386999726295471
0.65, 9000, 500, 0.5718516951973436, 0.14591092310198603, 0.7217000126838684
0.7, 9000, 500, 0.6158402871356008, 0.15713484026367724, 0.6996999979019165
0.75, 9000, 500, 0.6598288790738581, 0.16835875742536846, 0.6915000081062317
0.8, 9000, 500, 0.7038174710121153, 0.1795826745870597, 0.6607999801635742
0.85, 9000, 500, 0.7478060629503724, 0.1908065917487509, 0.6450999975204468
0.9, 9000, 500, 0.7917946548886297, 0.20203050891044216, 0.6284999847412109
0.95, 9000, 500, 0.8357832468268869, 0.21325442607213338, 0.6114000082015991
0.0, 10000, 500, 0.0, 0.0, 0.8582000136375427
0.05, 10000, 500, 0.039589732744431484, 0.010101525445522107, 0.8517000079154968
0.1, 10000, 500, 0.07917946548886297, 0.020203050891044214, 0.8483999967575073
